region_code,province_name,region_name,representative_latitude,representative_longitude
32010,강원특별자치도,춘천시,37.889815,127.739876
32020,강원특별자치도,원주시,37.308251,127.929506
32030,강원특별자치도,강릉시,37.720994,128.853894
32040,강원특별자치도,동해시,37.517727,129.066717
32050,강원특별자치도,태백시,37.172300,128.980115
32060,강원특별자치도,속초시,38.194040,128.534275
32070,강원특별자치도,삼척시,37.280115,129.176251
32510,강원특별자치도,홍천군,37.745045,128.074217
32520,강원특별자치도,횡성군,37.508989,128.077134
32530,강원특별자치도,영월군,37.204037,128.500507
32540,강원특별자치도,평창군,37.556858,128.482585
32550,강원특별자치도,정선군,37.378698,128.739028
32560,강원특별자치도,철원군,38.243861,127.413434
32570,강원특별자치도,화천군,38.138426,127.685138
32580,강원특별자치도,양구군,38.178050,128.001217
32590,강원특별자치도,인제군,38.068795,128.263340
32600,강원특별자치도,고성군,38.372919,128.424618
32610,강원특별자치도,양양군,38.005592,128.626400
33020,충청북도,충주시,37.015185,127.895656
33030,충청북도,제천시,37.059879,128.140907
33041,충청북도,청주시 상당구,36.592145,127.562538
33042,충청북도,청주시 서원구,36.547567,127.425151
33043,충청북도,청주시 흥덕구,36.646955,127.369207
33044,충청북도,청주시 청원구,36.720579,127.491333
33520,충청북도,보은군,36.489961,127.729359
33530,충청북도,옥천군,36.320438,127.656570
33540,충청북도,영동군,36.159660,127.814245
33550,충청북도,진천군,36.870993,127.440466
33560,충청북도,괴산군,36.769668,127.829558
33570,충청북도,음성군,36.976207,127.614220
33580,충청북도,단양군,36.994450,128.387839
33590,충청북도,증평군,36.786558,127.593416
34011,충청남도,천안시 동남구,36.764082,127.220909
34012,충청남도,천안시 서북구,36.892684,127.161721
34020,충청남도,공주시,36.479815,127.075122
34030,충청남도,보령시,36.333466,126.612769
34040,충청남도,아산시,36.807337,126.980047
34050,충청남도,서산시,36.784911,126.450312
34060,충청남도,논산시,36.190921,127.157769
34070,충청남도,계룡시,36.291666,127.234472
34080,충청남도,당진시,36.916733,126.645856
34510,충청남도,금산군,36.118985,127.478365
34530,충청남도,부여군,36.246364,126.856985
34540,충청남도,서천군,36.107625,126.724639
34550,충청남도,청양군,36.430551,126.853059
34560,충청남도,홍성군,36.601296,126.660817
34570,충청남도,예산군,36.682820,126.848838
34580,충청남도,태안군,36.763418,126.280858
35011,전북특별자치도,전주시 완산구,35.792049,127.116229
35012,전북특별자치도,전주시 덕진구,35.872344,127.112586
35020,전북특별자치도,군산시,35.967618,126.736868
35030,전북특별자치도,익산시,36.023135,126.989499
35040,전북특별자치도,정읍시,35.602646,126.905872
35050,전북특별자치도,남원시,35.422519,127.441915
35060,전북특별자치도,김제시,35.806852,126.896131
35510,전북특별자치도,완주군,35.949976,127.217402
35520,전북특별자치도,진안군,35.828797,127.430017
35530,전북특별자치도,무주군,35.939346,127.712957
35540,전북특별자치도,장수군,35.657499,127.544291
35550,전북특별자치도,임실군,35.598206,127.236638
35560,전북특별자치도,순창군,35.442747,127.123117
35570,전북특별자치도,고창군,35.453281,126.624762
35580,전북특별자치도,부안군,35.686152,126.656131
36010,전라남도,목포시,34.821038,126.408639
36020,전라남도,여수시,34.796499,127.662369
36030,전라남도,순천시,34.994494,127.389423
36040,전라남도,나주시,34.988606,126.720426
36060,전라남도,광양시,35.032003,127.667964
36510,전라남도,담양군,35.291483,126.995300
36520,전라남도,곡성군,35.216580,127.263588
36530,전라남도,구례군,35.236766,127.503143
36550,전라남도,고흥군,34.610957,127.285082
36560,전라남도,보성군,34.816537,127.133984
36570,전라남도,화순군,35.008129,127.033422
36580,전라남도,장흥군,34.681885,126.939773
36590,전라남도,강진군,34.669092,126.766894
36600,전라남도,해남군,34.573316,126.566452
36610,전라남도,영암군,34.799919,126.653074
36620,전라남도,무안군,34.936145,126.460451
36630,전라남도,함평군,35.112657,126.535476
36640,전라남도,영광군,35.285918,126.478861
36650,전라남도,장성군,35.329574,126.768527
36660,전라남도,완도군,34.364663,126.689233
36670,전라남도,진도군,34.486843,126.263541
36680,전라남도,신안군,34.869362,126.318080
37011,경상북도,포항시 남구,35.944653,129.418170
37012,경상북도,포항시 북구,36.155333,129.261683
37020,경상북도,경주시,35.833154,129.269399
37030,경상북도,김천시,36.060408,128.077697
37040,경상북도,안동시,36.580231,128.779998
37050,경상북도,구미시,36.207312,128.355558
37060,경상북도,영주시,36.870464,128.597676
37070,경상북도,영천시,36.015797,128.942650
37080,경상북도,상주시,36.429524,128.067010
37090,경상북도,문경시,36.690767,128.148610
37100,경상북도,경산시,35.834066,128.809067
37520,경상북도,의성군,36.362045,128.615169
37530,경상북도,청송군,36.356954,129.057393
37540,경상북도,영양군,36.696331,129.144995
37550,경상북도,영덕군,36.482358,129.317637
37560,경상북도,청도군,35.672958,128.786454
37570,경상북도,고령군,35.737221,128.306742
37580,경상북도,성주군,35.907227,128.233350
37590,경상북도,칠곡군,36.015491,128.462554
